area,1.5m humi_y,1.5m temp_y,5cm earth_y,radio,all_product
177.45,76,-3.5,-0.3,8.79,1330.55
169.04,71,-1.5,0.5,12.4,2760.5
169.04,49,1.6,3.2,8.96,40
177.45,75,-3.6,-0.4,11,807.5
169.04,74,-0.7,0.4,4.75,1032.3
169.04,58,1.2,2.8,2.98,40
177.45,67,-2.5,-0.5,4.75,349.25
169.04,66,1.7,0.8,11.39,1084.2
169.04,52,4,4.1,5.1,146
177.45,54,-0.1,-0.1,9.88,651
169.04,72,0.3,0.8,11.39,1858.8
72.14,66,-2.7,-1.6,8.82,130
169.04,54,3.1,3.8,7.91,100
177.45,78,-2.4,-0.4,9.34,921.25
169.04,68,0.8,1,8.92,1837.4
177.45,63,-1.5,-0.3,8.94,604
169.04,48,0.1,1,8.89,1913.1
169.04,41,0.5,3.6,5.97,10
177.45,47,-3.7,-0.5,7.93,513
169.04,66,2.2,1.8,9.82,1307.4
169.04,47,4,4.2,8.6,30
177.45,64,-1.1,-0.2,4.56,705
169.04,68,3.9,2.5,10.9,1877
169.04,60,4.6,4.8,8.22,60
177.45,70,2.6,0,9.14,662
169.04,82,4.9,4.1,11.22,2064.8
177.45,85,3.6,0.1,9.06,943
169.04,81,-0.3,2.1,11.56,2469.6
169.04,62,3.2,4.9,8.77,50
177.45,86,-0.4,0.4,8.77,639
177.45,77,0.3,0.7,6.46,745
169.04,59,-0.9,1.9,13.59,2012
169.04,46,-0.6,3.9,9.94,30
177.45,65,-3.7,0.3,12.08,759.5
169.04,69,1.5,1.8,12.47,1531
177.45,80,-0.6,0.4,5.63,1361
169.04,77,0.8,1.9,12.63,1382.9
169.04,62,3.6,4.1,9.12,90
177.45,77,0.2,0.4,10.42,1033.5
169.04,78,3.5,2.3,7.45,1344.5
177.45,77,2.3,0.8,6.65,625.25
169.04,68,2,2.6,12.47,1843.2
169.04,57,3.3,4.1,10.56,110
177.45,74,-1,0.8,10.13,304.5
169.04,73,1.8,2.3,12.87,754.4
177.45,76,1,1,11.27,628.5
169.04,72,3.1,2.9,12.17,405.3
169.04,57,5.7,5,9,100
177.45,75,1.9,1.4,10.1,318.25
169.04,63,1,2.4,14.47,519.4
177.45,67,-1.4,0.9,12.9,650
169.04,65,0.6,1.7,9.34,514.2
169.04,50,2.3,4.3,6.73,196
177.45,64,-1.2,0.6,9.79,1371.5
169.04,54,0.2,1.8,14.61,574.7
177.45,63,-3.5,0.2,13.5,1099
169.04,65,3.1,2.3,11.74,1219
169.04,55,4.3,4.1,8.09,277
177.45,66,2.3,0.9,12.05,1180
169.04,62,0.4,2.2,15.1,546.5
177.45,66,-1.8,0.4,13.97,857
169.04,55,4.2,2.7,10.52,658.2
169.04,41,5.9,4.5,7.67,210
177.45,67,1.8,0.6,9.07,680.75
169.04,81,1.7,2.8,4.35,33.6
177.45,76,-0.5,1.3,5.92,1254.5
169.04,76,0.3,2.1,10.9,184.5
169.04,68,0.4,3.2,8.98,402
177.45,84,-2.5,0.4,9.03,794
169.04,75,3.7,2.3,12.2,257.5
177.45,73,3.1,1.2,9.46,1227.5
169.04,39,5,5.7,11.37,50
177.45,45,-2.6,1.8,13.35,577
177.45,48,-1.9,2,15.05,401.5
169.04,49,1.2,4.2,12.68,40
177.45,60,-1.8,1.8,14.97,403
169.04,67,1.1,2.4,15.08,114
177.45,66,-0.4,1.7,11.82,784.5
169.04,62,2.1,2.9,15.88,156
169.04,42,4.1,5.1,11.95,50
177.45,47,0.5,2.2,14.3,378.5
169.04,50,2.4,3.4,15.49,101.2
177.45,52,0.6,2.7,15.35,495
169.04,63,3.3,3.4,9.37,118.4
169.04,58,3.7,4.7,5.21,65.9
177.45,72,1.3,3,7.82,424.5
169.04,61,1.8,3.5,13.07,52.8
177.45,65,-0.1,3.3,12.6,307.5
72.14,57,0.2,0,9.77,16
169.04,58,3.6,4.5,3.98,40
177.45,70,0.4,2.3,8.8,553.5
169.04,92,5.6,4.4,3.88,169.5
169.04,77,4,4.1,14.7,510.8
177.45,82,2.5,3.5,8.9,732
169.04,73,3.9,4.4,17.45,238.8
177.45,82,1.3,3.6,16.26,539.5
169.04,73,5,4.8,10.1,364.5
169.04,62,6.6,6.4,7.59,22.2
177.45,81,2.3,3.6,11.84,381.5
177.45,77,3.9,4.2,16.02,679.5
169.04,70,5.4,5.9,11.29,230
169.04,48,9.2,7.9,13.35,20
177.45,86,3.7,5.8,14.84,611.5
169.04,62,5.3,5.6,18.7,285.3
177.45,71,3.5,5,16.95,490.9
169.04,78,8.3,6.8,9.35,245.6
169.04,82,8.3,8.1,6.42,43
177.45,77,5.6,5.4,3.38,447.5
169.04,70,7.8,7.9,15.57,193
177.45,83,4.6,5.9,11.94,520.5
169.04,69,5.3,6.8,17.85,400.8
177.45,77,5.7,6.9,16.27,449
169.04,65,8.1,7,14.17,254.3
177.45,67,7.2,7.5,14.55,882
169.04,68,8.9,9.1,16.31,67.8
169.04,56,10.3,9.9,11.91,12
177.45,76,6.9,7.9,14.42,747
169.04,69,7.7,7.8,11.23,136
177.45,72,6.6,6.7,10.01,332
169.04,73,9.7,9.3,15.07,161
169.04,75,9.6,10,10.04,10
177.45,67,8.5,8.3,14.45,649.5
169.04,72,7.1,8.6,18.43,122.1
177.45,81,5,7.9,14.88,488
169.04,70,5.3,8.3,21.82,383.6
169.04,61,6.5,8.9,16.73,70
177.45,71,3.7,7,20.54,246.5
169.04,72,8.4,8.1,15.34,389.4
177.45,54,7,7,17.01,564
169.04,92,6.1,8.2,8.47,264.5
169.04,81,7.5,9.1,9.92,32
177.45,89,4.9,6.3,7.39,288
169.04,74,7.3,8.3,11.34,250.8
