1.5m humi,1.5m temp,5cm earth,radio,all_product
76,-3.5,-0.3,8.79,1330.55
71,-1.5,0.5,12.4,2760.5
49,1.6,3.2,8.96,40
75,-3.6,-0.4,11,807.5
74,-0.7,0.4,4.75,1032.3
58,1.2,2.8,2.98,40
67,-2.5,-0.5,4.75,349.25
66,1.7,0.8,11.39,1084.2
52,4,4.1,5.1,146
54,-0.1,-0.1,9.88,651
72,0.3,0.8,11.39,1858.8
66,-2.7,-1.6,12.56,130
54,3.1,3.8,7.91,100
78,-2.4,-0.4,9.34,921.25
68,0.8,1,8.92,1837.4
63,-1.5,-0.3,8.94,604
48,0.1,1,8.89,1913.1
41,0.5,3.6,5.97,10
47,-3.7,-0.5,7.93,513
66,2.2,1.8,9.82,1307.4
47,4,4.2,8.6,30
64,-1.1,-0.2,4.56,705
68,3.9,2.5,10.9,1877
60,4.6,4.8,8.22,60
70,2.6,0,9.14,662
82,4.9,4.1,11.22,2064.8
85,3.6,0.1,9.06,943
81,-0.3,2.1,11.56,2469.6
62,3.2,4.9,8.77,50
86,-0.4,0.4,8.77,639
,,,8.81,2823.3
77,0.3,0.7,6.46,745
59,-0.9,1.9,13.59,2012
46,-0.6,3.9,9.94,30
65,-3.7,0.3,12.08,759.5
69,1.5,1.8,12.47,1531
80,-0.6,0.4,5.63,1361
77,0.8,1.9,12.63,1382.9
62,3.6,4.1,9.12,90
77,0.2,0.4,10.42,1033.5
78,3.5,2.3,7.45,1344.5
77,2.3,0.8,6.65,625.25
68,2,2.6,12.47,1843.2
57,3.3,4.1,10.56,110
74,-1,0.8,10.13,304.5
73,1.8,2.3,12.87,754.4
76,1,1,11.27,628.5
72,3.1,2.9,12.17,405.3
57,5.7,5,9,100
75,1.9,1.4,10.1,318.25
63,1,2.4,14.47,519.4
67,-1.4,0.9,12.9,650
65,0.6,1.7,9.34,514.2
50,2.3,4.3,6.73,196
64,-1.2,0.6,9.79,1371.5
54,0.2,1.8,14.61,574.7
63,-3.5,0.2,13.5,1099
65,3.1,2.3,11.74,1219
44,-1.1,-0.8,11.12,108
55,4.3,4.1,8.09,277
66,2.3,0.9,12.05,1180
62,0.4,2.2,15.1,546.5
66,-1.8,0.4,13.97,857
55,4.2,2.7,10.52,658.2
41,5.9,4.5,7.67,210
67,1.8,0.6,9.07,680.75
81,1.7,2.8,4.35,33.6
76,-0.5,1.3,5.92,1254.5
76,0.3,2.1,10.9,184.5
68,0.4,3.2,8.98,402
84,-2.5,0.4,9.03,794
75,3.7,2.3,12.2,257.5
73,3.1,1.2,9.46,1227.5
39,5,5.7,11.37,50
45,-2.6,1.8,13.35,577
48,-1.9,2,15.05,401.5
49,1.2,4.2,12.68,40
60,-1.8,1.8,14.97,403
67,1.1,2.4,15.08,114
66,-0.4,1.7,11.82,784.5
62,2.1,2.9,15.88,156
42,4.1,5.1,11.95,50
47,0.5,2.2,14.3,378.5
50,2.4,3.4,15.49,101.2
52,0.6,2.7,15.35,495
63,3.3,3.4,9.37,118.4
58,3.7,4.7,5.21,65.9
72,1.3,3,7.82,424.5
61,1.8,3.5,13.07,52.8
65,-0.1,3.3,12.6,307.5
,,,6.07,101.7
57,0.2,0,13.68,16
58,3.6,4.5,3.98,40
70,0.4,2.3,8.8,553.5
92,5.6,4.4,3.88,169.5
77,4,4.1,14.7,510.8
82,2.5,3.5,8.9,732
73,3.9,4.4,17.45,238.8
82,1.3,3.6,16.26,539.5
73,5,4.8,10.1,364.5
62,6.6,6.4,7.59,22.2
81,2.3,3.6,11.84,381.5
77,3.9,4.2,16.02,679.5
70,5.4,5.9,11.29,230
48,9.2,7.9,13.35,20
86,3.7,5.8,14.84,611.5
62,5.3,5.6,18.7,285.3
71,3.5,5,16.95,490.9
78,8.3,6.8,9.35,245.6
82,8.3,8.1,6.42,43
77,5.6,5.4,3.38,447.5
70,7.8,7.9,15.57,193
83,4.6,5.9,11.94,520.5
69,5.3,6.8,17.85,400.8
77,5.7,6.9,16.27,449
65,8.1,7,14.17,254.3
67,7.2,7.5,14.55,882
68,8.9,9.1,16.31,67.8
56,10.3,9.9,11.91,12
