date,center,1.5m humi,1.5m temp,5cm earth,radio,all_product
20190102,전북 익산시,76,-3.5,-0.3,8.79,1330.55
20190103,전남 화순군,71,-1.5,0.5,12.4,2760.5
20190103,전남 보성군,49,1.6,3.2,8.96,40
20190103,전북 익산시,75,-3.6,-0.4,11,807.5
20190104,전남 화순군,74,-0.7,0.4,4.75,1032.3
20190104,전남 보성군,58,1.2,2.8,2.98,40
20190104,전북 익산시,67,-2.5,-0.5,4.75,349.25
20190105,전남 화순군,66,1.7,0.8,11.39,1084.2
20190105,전남 보성군,52,4,4.1,5.1,146
20190105,전북 익산시,54,-0.1,-0.1,9.88,651
20190107,전남 화순군,72,0.3,0.8,11.39,1858.8
20190107,경기 수원시,66,-2.7,-1.6,12.56,130
20190107,전남 보성군,54,3.1,3.8,7.91,100
20190107,전북 익산시,78,-2.4,-0.4,9.34,921.25
20190108,전남 화순군,68,0.8,1,8.92,1837.4
20190108,전북 익산시,63,-1.5,-0.3,8.94,604
20190109,전남 화순군,48,0.1,1,8.89,1913.1
20190109,전남 보성군,41,0.5,3.6,5.97,10
20190109,전북 익산시,47,-3.7,-0.5,7.93,513
20190110,전남 화순군,66,2.2,1.8,9.82,1307.4
20190110,전남 보성군,47,4,4.2,8.6,30
20190110,전북 익산시,64,-1.1,-0.2,4.56,705
20190111,전남 화순군,68,3.9,2.5,10.9,1877
20190111,전남 보성군,60,4.6,4.8,8.22,60
20190111,전북 익산시,70,2.6,0,9.14,662
20190112,전남 화순군,82,4.9,4.1,11.22,2064.8
20190112,전북 익산시,85,3.6,0.1,9.06,943
20190114,전남 화순군,81,-0.3,2.1,11.56,2469.6
20190114,전남 보성군,62,3.2,4.9,8.77,50
20190114,전북 익산시,86,-0.4,0.4,8.77,639
20190115,전남 화순군,,,,8.81,2823.3
20190115,전북 익산시,77,0.3,0.7,6.46,745
20190116,전남 화순군,59,-0.9,1.9,13.59,2012
20190116,전남 보성군,46,-0.6,3.9,9.94,30
20190116,전북 익산시,65,-3.7,0.3,12.08,759.5
20190117,전남 화순군,69,1.5,1.8,12.47,1531
20190117,전북 익산시,80,-0.6,0.4,5.63,1361
20190118,전남 화순군,77,0.8,1.9,12.63,1382.9
20190118,전남 보성군,62,3.6,4.1,9.12,90
20190118,전북 익산시,77,0.2,0.4,10.42,1033.5
20190119,전남 화순군,78,3.5,2.3,7.45,1344.5
20190119,전북 익산시,77,2.3,0.8,6.65,625.25
20190121,전남 화순군,68,2,2.6,12.47,1843.2
20190121,전남 보성군,57,3.3,4.1,10.56,110
20190121,전북 익산시,74,-1,0.8,10.13,304.5
20190122,전남 화순군,73,1.8,2.3,12.87,754.4
20190122,전북 익산시,76,1,1,11.27,628.5
20190123,전남 화순군,72,3.1,2.9,12.17,405.3
20190123,전남 보성군,57,5.7,5,9,100
20190123,전북 익산시,75,1.9,1.4,10.1,318.25
20190124,전남 화순군,63,1,2.4,14.47,519.4
20190124,전북 익산시,67,-1.4,0.9,12.9,650
20190125,전남 화순군,65,0.6,1.7,9.34,514.2
20190125,전남 보성군,50,2.3,4.3,6.73,196
20190125,전북 익산시,64,-1.2,0.6,9.79,1371.5
20190126,전남 화순군,54,0.2,1.8,14.61,574.7
20190126,전북 익산시,63,-3.5,0.2,13.5,1099
20190128,전남 화순군,65,3.1,2.3,11.74,1219
20190128,강원 철원군,44,-1.1,-0.8,11.12,108
20190128,전남 보성군,55,4.3,4.1,8.09,277
20190128,전북 익산시,66,2.3,0.9,12.05,1180
20190129,전남 화순군,62,0.4,2.2,15.1,546.5
20190129,전북 익산시,66,-1.8,0.4,13.97,857
20190130,전남 화순군,55,4.2,2.7,10.52,658.2
20190130,전남 보성군,41,5.9,4.5,7.67,210
20190130,전북 익산시,67,1.8,0.6,9.07,680.75
20190131,전남 화순군,81,1.7,2.8,4.35,33.6
20190131,전북 익산시,76,-0.5,1.3,5.92,1254.5
20190201,전남 화순군,76,0.3,2.1,10.9,184.5
20190201,전남 보성군,68,0.4,3.2,8.98,402
20190201,전북 익산시,84,-2.5,0.4,9.03,794
20190202,전남 화순군,75,3.7,2.3,12.2,257.5
20190202,전북 익산시,73,3.1,1.2,9.46,1227.5
20190204,전남 보성군,39,5,5.7,11.37,50
20190208,전북 익산시,45,-2.6,1.8,13.35,577
20190209,전북 익산시,48,-1.9,2,15.05,401.5
20190211,전남 보성군,49,1.2,4.2,12.68,40
20190211,전북 익산시,60,-1.8,1.8,14.97,403
20190212,전남 화순군,67,1.1,2.4,15.08,114
20190212,전북 익산시,66,-0.4,1.7,11.82,784.5
20190213,전남 화순군,62,2.1,2.9,15.88,156
20190213,전남 보성군,42,4.1,5.1,11.95,50
20190213,전북 익산시,47,0.5,2.2,14.3,378.5
20190214,전남 화순군,50,2.4,3.4,15.49,101.2
20190214,전북 익산시,52,0.6,2.7,15.35,495
20190215,전남 화순군,63,3.3,3.4,9.37,118.4
20190215,전남 보성군,58,3.7,4.7,5.21,65.9
20190215,전북 익산시,72,1.3,3,7.82,424.5
20190216,전남 화순군,61,1.8,3.5,13.07,52.8
20190216,전북 익산시,65,-0.1,3.3,12.6,307.5
20190218,전남 화순군,,,,6.07,101.7
20190218,경기 수원시,57,0.2,0,13.68,16
20190218,전남 보성군,58,3.6,4.5,3.98,40
20190218,전북 익산시,70,0.4,2.3,8.8,553.5
20190219,전남 화순군,92,5.6,4.4,3.88,169.5
20190220,전남 화순군,77,4,4.1,14.7,510.8
20190220,전북 익산시,82,2.5,3.5,8.9,732
20190221,전남 화순군,73,3.9,4.4,17.45,238.8
20190221,전북 익산시,82,1.3,3.6,16.26,539.5
20190222,전남 화순군,73,5,4.8,10.1,364.5
20190222,전남 보성군,62,6.6,6.4,7.59,22.2
20190222,전북 익산시,81,2.3,3.6,11.84,381.5
20190223,전북 익산시,77,3.9,4.2,16.02,679.5
20190225,전남 화순군,70,5.4,5.9,11.29,230
20190225,전남 보성군,48,9.2,7.9,13.35,20
20190225,전북 익산시,86,3.7,5.8,14.84,611.5
20190226,전남 화순군,62,5.3,5.6,18.7,285.3
20190226,전북 익산시,71,3.5,5,16.95,490.9
20190227,전남 화순군,78,8.3,6.8,9.35,245.6
20190227,전남 보성군,82,8.3,8.1,6.42,43
20190227,전북 익산시,77,5.6,5.4,3.38,447.5
20190228,전남 화순군,70,7.8,7.9,15.57,193
20190228,전북 익산시,83,4.6,5.9,11.94,520.5
20190301,전남 화순군,69,5.3,6.8,17.85,400.8
20190301,전북 익산시,77,5.7,6.9,16.27,449
20190302,전남 화순군,65,8.1,7,14.17,254.3
20190302,전북 익산시,67,7.2,7.5,14.55,882
20190304,전남 화순군,68,8.9,9.1,16.31,67.8
20190304,전남 보성군,56,10.3,9.9,11.91,12
20190304,전북 익산시,76,6.9,7.9,14.42,747
20190305,전남 화순군,69,7.7,7.8,11.23,136
20190305,전북 익산시,72,6.6,6.7,10.01,332
20190306,전남 화순군,73,9.7,9.3,15.07,161
20190306,전남 보성군,75,9.6,10,10.04,10
20190306,전북 익산시,67,8.5,8.3,14.45,649.5
20190307,전남 화순군,72,7.1,8.6,18.43,122.1
20190307,전북 익산시,81,5,7.9,14.88,488
20190308,전남 화순군,70,5.3,8.3,21.82,383.6
20190308,전남 보성군,61,6.5,8.9,16.73,70
20190308,전북 익산시,71,3.7,7,20.54,246.5
20190309,전남 화순군,72,8.4,8.1,15.34,389.4
20190309,전북 익산시,54,7,7,17.01,564
20190311,전남 화순군,92,6.1,8.2,8.47,264.5
20190311,전남 보성군,81,7.5,9.1,9.92,32
20190311,전북 익산시,89,4.9,6.3,7.39,288
20190312,전남 화순군,74,7.3,8.3,11.34,250.8
20190312,전북 익산시,84,4.5,7.3,10.52,790
20190313,전남 화순군,59,4.3,6.6,21.54,330.3
20190313,전남 보성군,47,5,7.5,16.64,20
20190313,전북 익산시,64,2.5,5.8,20.38,592.5
20190314,전남 화순군,63,5.3,6.6,21.51,272.6
20190314,전북 익산시,61,5,6.2,20.18,1417
20190315,전남 화순군,67,7,7.2,12.77,168
20190315,전남 보성군,67,6.5,7.8,11.58,70
20190315,전북 익산시,78,6.9,7.8,12.29,574.5
20190316,전남 화순군,64,7.4,8.3,20.15,136.8
20190316,전북 익산시,75,5.9,7.9,18.23,566.5
20190318,전남 화순군,59,7.5,8,15.7,92.2
20190318,전남 보성군,67,7.4,8.4,10.31,107.1
20190318,전북 익산시,58,5.9,7.6,16.17,862.5
20190319,전남 화순군,70,10.1,9.3,19.84,125.5
20190319,전북 익산시,71,8.3,9.4,17.63,727
20190320,전남 화순군,81,12.5,9.4,4.84,388
20190320,전남 보성군,,,,,75
20190320,전북 익산시,81,11.8,9.6,4.39,669
20190321,전남 화순군,83,9.2,10.2,6.48,438.2
20190321,전북 익산시,88,7.8,10.1,9.05,1043.5
20190322,전남 화순군,62,5.8,8.2,22.77,554.9
20190322,전남 보성군,55,6.5,9.4,19.02,30
20190322,전북 익산시,64,4.2,8.8,21.68,570
20190323,전남 화순군,50,6.2,7.3,18.02,435.7
20190323,전북 익산시,69,3.3,7,18.57,1145
20190325,전남 화순군,73,6.4,7.8,16.2,273.6
20190325,전남 보성군,73,5.9,8.3,12.39,10
20190325,전북 익산시,69,6.4,7.9,17.31,560
20190326,전남 화순군,68,10,9.6,19.73,403.2
20190326,전북 익산시,76,9.1,9.5,19.74,795.5
20190327,전남 화순군,66,12.7,10.7,22.01,171
20190327,전북 익산시,68,12.8,10.3,17.22,912
20190328,전남 화순군,66,13,12.8,19.96,398.1
20190328,전북 익산시,71,9.9,11.8,16.2,1114.5
20190329,전남 화순군,60,11.5,12.3,22.14,387.3
20190329,전북 익산시,58,9.9,11.7,19.3,1085.5
20190330,전남 화순군,67,8.7,12.2,17.36,419.5
20190330,전북 익산시,76,6.5,10.2,9.78,1134.5
20190401,전남 보성군,50,7,9.5,19.57,25
20190401,전북 익산시,56,4.9,8.6,22.68,564.5
20190402,전남 화순군,53,7.8,10.4,25.76,102.6
20190402,전북 익산시,59,5.5,9.3,24.24,1004
20190403,전남 화순군,53,6.5,10,26.11,94.2
20190403,전남 보성군,40,7.4,10.5,20.62,40
20190403,전북 익산시,62,5.5,9.4,19.71,599
20190404,전남 화순군,60,8.1,10.3,25.32,333.2
20190404,전북 익산시,63,7.4,9.7,22.59,1257
20190405,전남 화순군,66,9.4,11.1,14.77,356
20190405,경기 수원시,47,10,10,26.08,80
20190405,전남 보성군,50,12.8,11.7,17.29,50
20190405,전북 익산시,68,8.3,9.9,14.45,777.5
20190406,전남 화순군,58,11.9,11.7,23.61,303
20190406,전북 익산시,56,10.9,10.6,19.71,524.5
20190408,전남 화순군,63,13.3,12.6,23.79,181.1
20190408,전북 익산시,60,10.6,11.6,21.79,1303
20190409,전남 화순군,70,10.3,11.7,9.95,134.4
